timestamp,open,high,low,close,volume,vwap_raw,n
2021-01-04 05:00:00+00:00,315.13,315.29,305.27,309.35,370969,309.286491,3229
2021-01-05 05:00:00+00:00,308.41,312.0,308.41,311.78,219913,310.968899,2199
2021-01-06 05:00:00+00:00,306.83,311.87,306.05,307.55,483281,309.124325,3825
2021-01-07 05:00:00+00:00,310.4,315.83,310.31,315.125,275396,314.106308,2347
2021-01-08 05:00:00+00:00,317.42,319.39,315.13,319.13,285541,317.647035,2430
2021-01-11 05:00:00+00:00,315.77,317.09,313.83,314.23,244505,315.301813,3007
2021-01-12 05:00:00+00:00,314.525,315.56,311.23,314.12,436506,313.810139,3149
2021-01-13 05:00:00+00:00,314.27,316.85,313.63,315.99,214029,315.67258,2360
2021-01-14 05:00:00+00:00,316.58,317.45,313.885,314.365,214139,315.309978,1929
2021-01-15 05:00:00+00:00,314.12,315.12,310.59,311.88,240137,312.782351,1896
2021-01-19 05:00:00+00:00,314.295,316.91,313.22,316.43,271858,315.818904,2599
2021-01-20 05:00:00+00:00,320.11,324.705,319.785,323.75,431709,322.775904,3052
2021-01-21 05:00:00+00:00,325.13,327.12,323.74,326.36,219762,325.5918,2014
2021-01-22 05:00:00+00:00,325.3,326.44,324.805,325.44,169713,325.815884,1462
2021-01-25 05:00:00+00:00,329.0,330.27,321.41,328.41,251142,326.720141,2108
2021-01-26 05:00:00+00:00,328.92,329.72,327.45,328.55,243490,328.755804,3209
2021-01-27 05:00:00+00:00,326.22,326.26,317.405,319.37,765439,321.963934,5949
2021-01-28 05:00:00+00:00,320.62,326.37,320.05,321.3,465802,323.358861,3215
2021-01-29 05:00:00+00:00,319.54,320.7,312.78,314.52,507075,316.619368,3500
2021-02-01 05:00:00+00:00,318.22,323.51,316.2,322.58,342754,320.632575,2603
2021-02-02 05:00:00+00:00,325.46,328.82,325.31,327.73,277333,327.307611,2014
2021-02-03 05:00:00+00:00,329.97,330.19,326.35,326.35,396388,328.080086,3182
2021-02-04 05:00:00+00:00,327.985,330.21,326.48,330.2,173325,328.468188,1707
2021-02-05 05:00:00+00:00,331.28,332.385,329.575,331.48,172874,330.980532,1631
2021-02-08 05:00:00+00:00,333.11,333.63,331.445,333.585,202811,332.748629,2397
2021-02-09 05:00:00+00:00,332.715,334.79,332.715,333.46,167428,333.760895,1726
2021-02-10 05:00:00+00:00,334.99,335.4,329.58,332.74,385921,332.361152,4066
2021-02-11 05:00:00+00:00,334.46,334.92,332.13,334.68,191603,334.053136,2097
2021-02-12 05:00:00+00:00,333.745,336.62,332.7,336.4,205288,335.323963,1750
2021-02-16 05:00:00+00:00,337.345,338.19,334.36,335.46,246909,336.184505,2403
2021-02-17 05:00:00+00:00,332.37,334.18,330.17,333.95,241842,332.505783,2319
2021-02-18 05:00:00+00:00,330.12,333.16,328.36,332.39,384713,330.650613,3297
2021-02-19 05:00:00+00:00,333.92,333.92,329.98,330.97,254605,331.795902,3181
2021-02-22 05:00:00+00:00,326.36,327.72,322.245,322.245,394484,324.431568,3468
2021-02-23 05:00:00+00:00,316.96,323.195,311.06,321.45,1213319,316.987951,9935
2021-02-24 05:00:00+00:00,318.64,324.45,316.0,324.05,406663,320.953381,3870
2021-02-25 05:00:00+00:00,321.49,324.0,311.28,312.77,874312,316.107829,7248
2021-02-26 05:00:00+00:00,315.86,319.07,310.99,314.84,666355,315.55158,5490
2021-03-01 05:00:00+00:00,319.45,323.93,317.97,323.65,453714,321.456089,3576
2021-03-02 05:00:00+00:00,324.25,324.25,318.295,318.3,355583,320.76012,2582
2021-03-03 05:00:00+00:00,317.09,318.21,309.11,309.19,981248,312.229335,8477
2021-03-04 05:00:00+00:00,308.82,312.03,300.13,303.83,1699100,306.06157,11204
2021-03-05 05:00:00+00:00,307.03,309.57,297.67,308.78,1069452,303.86043,8366
2021-03-08 05:00:00+00:00,308.095,310.04,299.64,299.73,696738,304.621427,5760
2021-03-09 05:00:00+00:00,307.58,313.7,307.05,311.56,651248,311.231495,5244
2021-03-10 05:00:00+00:00,316.11,316.4,310.295,310.8,610806,312.675258,4672
2021-03-11 05:00:00+00:00,315.995,319.83,314.86,318.165,450186,318.057442,3449
2021-03-12 05:00:00+00:00,313.76,315.6,311.41,315.34,375824,313.925871,3983
2021-03-15 04:00:00+00:00,315.67,318.995,314.2,318.79,335667,316.776541,3593
2021-03-16 04:00:00+00:00,321.19,324.195,319.14,320.65,536693,322.168113,4035
2021-03-17 04:00:00+00:00,317.48,323.85,315.68,321.77,1040437,319.663672,7434
2021-03-18 04:00:00+00:00,316.88,317.77,311.59,311.9,975454,314.361736,5624
2021-03-19 04:00:00+00:00,311.74,314.73,309.76,313.71,710387,312.906201,6287
2021-03-22 04:00:00+00:00,315.27,320.73,315.25,318.67,488504,318.39976,3661
2021-03-23 04:00:00+00:00,319.56,321.085,316.41,317.025,532868,318.992934,4987
2021-03-24 04:00:00+00:00,318.54,318.59,311.78,311.78,386448,314.820585,3247
