timestamp,open,high,low,close,volume,vwap_raw,n
2021-01-04 05:00:00+00:00,127.3,129.69,125.31,125.94,27243,127.17,216
2021-01-05 05:00:00+00:00,125.82,128.32,125.82,128.27,82290,127.61,445
2021-01-06 05:00:00+00:00,126.98,130.06,126.98,127.97,30606,128.54,191
2021-01-07 05:00:00+00:00,130.14,133.13,130.14,133.04,20058,131.97,112
2021-01-08 05:00:00+00:00,134.92,135.11,131.76,132.6,21573,133.3,119
2021-01-11 05:00:00+00:00,132.7,135.1,132.7,134.3,11571,134.34,81
2021-01-12 05:00:00+00:00,135.15,136.27,134.01,135.27,41418,135.0,155
2021-01-13 05:00:00+00:00,134.77,135.9,134.77,135.41,9666,135.52,53
2021-01-14 05:00:00+00:00,137.26,139.55,137.26,138.33,9255,138.76,82
2021-01-15 05:00:00+00:00,136.84,137.25,134.89,135.4,24630,135.97,145
2021-01-19 05:00:00+00:00,137.63,139.98,137.63,139.97,13335,138.65,86
2021-01-20 05:00:00+00:00,141.51,141.67,139.28,139.61,11592,140.53,94
2021-01-21 05:00:00+00:00,140.13,142.07,139.61,141.9,23910,140.53,162
2021-01-22 05:00:00+00:00,140.95,140.96,139.28,139.39,16158,139.8,73
2021-01-25 05:00:00+00:00,140.21,140.64,137.05,138.41,6972,139.27,52
2021-01-26 05:00:00+00:00,138.54,138.71,137.06,137.06,15240,137.88,92
2021-01-27 05:00:00+00:00,133.04,133.93,129.48,130.14,54996,132.14,259
2021-01-28 05:00:00+00:00,132.6,134.55,131.61,133.19,27642,133.05,150
2021-01-29 05:00:00+00:00,132.81,133.61,130.09,131.28,34446,131.79,201
2021-02-01 05:00:00+00:00,133.12,136.01,132.63,135.79,17286,134.23,116
2021-02-02 05:00:00+00:00,137.88,137.93,136.14,137.93,15213,137.22,552
2021-02-03 05:00:00+00:00,138.05,138.05,134.97,135.15,21030,135.74,110
2021-02-04 05:00:00+00:00,133.92,136.03,133.92,136.03,113502,135.3,495
2021-02-05 05:00:00+00:00,137.0,137.0,135.14,135.18,7941,135.46,43
2021-02-08 05:00:00+00:00,136.15,139.26,136.15,139.26,9273,137.71,46
2021-02-09 05:00:00+00:00,139.03,139.59,138.76,138.79,6315,139.17,41
2021-02-10 05:00:00+00:00,140.15,140.32,138.33,139.07,30627,139.04,130
2021-02-11 05:00:00+00:00,140.71,143.84,140.7,143.84,15255,142.93,69
2021-02-12 05:00:00+00:00,143.41,145.83,142.97,145.35,28500,144.24,174
2021-02-16 05:00:00+00:00,147.29,147.8,145.89,146.65,12039,146.87,79
2021-02-17 05:00:00+00:00,144.89,145.6,142.19,144.13,27744,143.7,139
2021-02-18 05:00:00+00:00,142.74,142.89,140.68,142.5,13308,142.17,72
2021-02-19 05:00:00+00:00,145.14,146.69,144.67,145.73,20388,145.77,90
2021-02-22 05:00:00+00:00,144.02,144.61,140.18,140.54,15516,142.5,96
2021-02-23 05:00:00+00:00,137.93,140.35,134.23,139.75,37356,137.12,184
2021-02-24 05:00:00+00:00,138.54,144.23,137.61,144.23,35211,141.22,192
2021-02-25 05:00:00+00:00,142.42,143.26,135.39,135.95,48702,138.58,214
2021-02-26 05:00:00+00:00,137.78,140.02,135.52,139.71,19098,138.48,93
2021-03-01 05:00:00+00:00,141.0,143.28,140.41,143.2,13122,142.14,189
2021-03-02 05:00:00+00:00,141.89,142.08,139.45,139.45,17679,141.02,113
2021-03-03 05:00:00+00:00,138.81,139.01,134.74,135.24,26292,136.34,123
2021-03-04 05:00:00+00:00,134.33,134.96,126.66,128.39,42450,130.39,299
2021-03-05 05:00:00+00:00,131.4,132.48,125.64,132.15,65967,129.45,396
2021-03-08 05:00:00+00:00,131.59,132.56,125.3,125.41,84660,128.09,388
2021-03-09 05:00:00+00:00,129.55,133.59,129.31,132.79,49365,131.51,237
2021-03-10 05:00:00+00:00,134.46,134.8,130.69,130.75,34572,131.83,147
2021-03-11 05:00:00+00:00,134.71,136.51,133.83,135.67,32688,135.44,176
2021-03-12 05:00:00+00:00,133.3,134.52,132.58,134.51,27054,133.37,138
2021-03-15 04:00:00+00:00,134.97,137.1,134.29,137.09,111438,135.78,2578
2021-03-16 04:00:00+00:00,139.11,141.08,138.39,139.35,41763,139.9,344
2021-03-17 04:00:00+00:00,137.09,141.69,137.09,140.51,50262,139.94,242
2021-03-18 04:00:00+00:00,138.57,139.04,134.8,134.87,47667,136.63,284
2021-03-19 04:00:00+00:00,135.12,137.65,133.75,136.29,50946,136.49,227
2021-03-22 04:00:00+00:00,138.92,140.88,137.97,139.45,11775,139.28,83
2021-03-23 04:00:00+00:00,139.74,139.74,135.38,135.79,35496,137.08,431
2021-03-24 04:00:00+00:00,137.48,137.79,134.12,134.31,72456,135.41,504
2021-03-25 04:00:00+00:00,132.33,134.42,130.74,134.27,38010,132.54,284
2021-03-26 04:00:00+00:00,134.09,140.54,133.88,140.54,78171,137.53,405
2021-03-29 04:00:00+00:00,138.94,139.55,136.7,138.27,96492,137.88,461
2021-03-30 04:00:00+00:00,136.78,138.18,136.5,137.91,30858,137.48,154
2021-03-31 04:00:00+00:00,139.66,142.33,139.37,141.39,88434,140.94,313
2021-04-01 04:00:00+00:00,144.01,146.59,143.95,146.59,111543,145.57,555
2021-04-05 04:00:00+00:00,148.07,149.88,147.28,149.35,106920,149.04,507
2021-04-06 04:00:00+00:00,148.53,149.48,146.63,147.76,52155,148.69,269
2021-04-07 04:00:00+00:00,147.51,148.45,146.66,147.6,37161,147.53,195
2021-04-08 04:00:00+00:00,149.29,149.56,148.06,148.95,36669,148.82,206
2021-04-09 04:00:00+00:00,147.75,149.02,147.75,149.02,27126,148.66,187
2021-04-12 04:00:00+00:00,147.95,147.95,146.1,147.34,33096,147.08,243
2021-04-13 04:00:00+00:00,148.38,148.38,145.83,147.15,31683,147.02,146
2021-04-14 04:00:00+00:00,146.55,147.88,144.79,145.37,45408,146.5,276
2021-04-15 04:00:00+00:00,146.99,148.11,145.92,147.9,41526,147.09,222
2021-04-16 04:00:00+00:00,148.02,148.1,146.92,147.16,48033,147.37,210
2021-04-19 04:00:00+00:00,146.07,146.5,142.08,143.45,230892,143.09,916
