timestamp,open,high,low,close,volume,vwap_raw,n
2021-01-04 05:00:00+00:00,239.5,248.07,239.06,243.17,2077080,244.03,11056
2021-01-05 05:00:00+00:00,241.22,246.94,239.77,245.12,1434816,244.28,8269
2021-01-06 05:00:00+00:00,252.83,257.95,249.99,252.12,2389377,254.63,12389
2021-01-07 05:00:00+00:00,259.21,272.3,258.48,272.0,2447346,266.72,12730
2021-01-08 05:00:00+00:00,285.33,294.79,279.49,293.51,4469598,289.13,21630
2021-01-11 05:00:00+00:00,282.82,284.75,268.12,270.28,3943968,276.69,21153
2021-01-12 05:00:00+00:00,276.98,289.31,275.81,283.07,2358399,284.93,13080
2021-01-13 05:00:00+00:00,284.35,286.7,277.34,284.78,1536759,281.89,9172
2021-01-14 05:00:00+00:00,281.17,287.67,279.69,281.93,1985202,283.81,9061
2021-01-15 05:00:00+00:00,283.54,286.33,273.04,275.34,2308020,279.4,11158
2021-01-19 05:00:00+00:00,279.27,283.0,277.77,281.5,1475940,280.08,7444
2021-01-20 05:00:00+00:00,286.27,286.47,279.2,283.74,1440756,283.27,8440
2021-01-21 05:00:00+00:00,284.82,285.16,280.53,281.61,1519404,282.47,7079
2021-01-22 05:00:00+00:00,278.13,282.66,276.37,282.33,942432,279.28,6523
2021-01-25 05:00:00+00:00,284.81,300.07,279.85,293.95,2919474,291.44,13981
2021-01-26 05:00:00+00:00,297.26,298.56,290.78,294.34,1494645,295.35,8997
2021-01-27 05:00:00+00:00,290.19,296.95,286.29,287.82,1810863,292.24,15110
2021-01-28 05:00:00+00:00,273.0,282.54,267.44,278.76,2017689,277.12,14982
2021-01-29 05:00:00+00:00,276.4,280.6,260.15,264.41,1983609,268.44,14628
2021-02-01 05:00:00+00:00,271.24,280.63,265.41,280.08,1467108,274.56,9237
2021-02-02 05:00:00+00:00,281.78,293.33,281.02,290.82,1187331,289.74,7379
2021-02-03 05:00:00+00:00,292.34,292.69,284.59,284.91,870951,287.19,5527
2021-02-04 05:00:00+00:00,285.22,285.22,277.84,283.26,805176,281.46,5490
2021-02-05 05:00:00+00:00,281.82,288.16,279.78,284.24,1049106,284.25,6445
2021-02-08 05:00:00+00:00,289.62,292.25,285.08,287.67,865683,288.38,6507
2021-02-09 05:00:00+00:00,285.06,286.59,280.63,283.05,871605,282.96,6041
2021-02-10 05:00:00+00:00,281.21,281.56,266.77,268.32,2507814,271.98,12999
2021-02-11 05:00:00+00:00,270.65,276.4,267.24,270.42,988092,271.43,5774
2021-02-12 05:00:00+00:00,267.06,272.41,261.81,272.2,1316151,266.6,9330
2021-02-16 05:00:00+00:00,272.96,273.56,264.2,265.52,1279737,267.89,8805
2021-02-17 05:00:00+00:00,259.7,266.57,254.21,266.1,1671717,260.66,10309
2021-02-18 05:00:00+00:00,260.3,264.86,258.84,262.41,1111371,262.29,7416
2021-02-19 05:00:00+00:00,264.89,265.45,259.2,260.35,976749,261.79,6546
2021-02-22 05:00:00+00:00,254.15,256.1,236.91,238.27,2402256,246.6,14919
2021-02-23 05:00:00+00:00,220.57,237.67,206.61,232.85,3323151,224.78,20670
2021-02-24 05:00:00+00:00,237.39,248.25,231.59,247.38,1994412,240.21,13630
2021-02-25 05:00:00+00:00,241.68,245.73,223.65,227.71,2563695,234.23,16171
