timestamp,open,high,low,close,volume,vwap_raw,n
2021-01-04 14:00:00+00:00,127.3,129.69,127.3,129.67,4824,128.356667,19
2021-01-04 15:00:00+00:00,129.52,129.69,127.65,127.65,3717,129.000369,12
2021-01-04 16:00:00+00:00,126.93,127.04,126.28,126.28,3429,126.9,16
2021-01-04 17:00:00+00:00,125.56,125.56,125.32,125.32,636,125.44,4
2021-01-04 18:00:00+00:00,125.89,125.93,125.78,125.79,1698,125.838,7
2021-01-04 19:00:00+00:00,126.28,126.28,125.31,125.31,975,125.793333,5
2021-01-04 20:00:00+00:00,125.76,126.17,125.54,125.94,5970,125.881667,24
2021-01-05 14:00:00+00:00,125.82,127.7,125.82,127.7,6699,127.356364,25
2021-01-05 15:00:00+00:00,127.65,128.16,127.31,127.69,18876,127.728909,94
2021-01-05 16:00:00+00:00,127.42,127.69,127.3,127.47,10863,127.493714,48
2021-01-05 17:00:00+00:00,127.43,127.55,126.99,127.22,9204,127.21931,41
2021-01-05 18:00:00+00:00,127.38,127.65,127.36,127.63,10218,127.499697,45
2021-01-05 19:00:00+00:00,127.78,128.01,127.67,127.67,7677,127.8632,31
2021-01-05 20:00:00+00:00,127.74,128.32,127.61,128.27,14037,127.849556,59
2021-01-06 14:00:00+00:00,126.98,128.33,126.98,128.06,9690,128.235712,43
2021-01-06 15:00:00+00:00,127.5,129.09,127.5,129.09,6660,128.59,25
2021-01-06 16:00:00+00:00,128.88,128.88,128.85,128.85,600,128.87,2
2021-01-06 17:00:00+00:00,129.11,129.57,129.11,129.37,900,129.35,3
2021-01-06 18:00:00+00:00,129.72,129.9,129.72,129.9,756,129.81,4
2021-01-06 19:00:00+00:00,130.06,130.06,128.73,128.73,1200,129.255,4
2021-01-06 20:00:00+00:00,128.81,128.81,127.97,127.97,3879,128.314428,22
2021-01-07 14:00:00+00:00,130.14,130.73,130.14,130.64,1800,130.408333,6
2021-01-07 15:00:00+00:00,131.17,131.88,131.17,131.88,3390,131.412727,13
2021-01-07 16:00:00+00:00,132.15,132.29,132.12,132.12,2400,132.18875,8
2021-01-07 17:00:00+00:00,131.83,132.11,131.83,132.04,1791,132.004,7
2021-01-07 18:00:00+00:00,131.85,132.27,131.78,132.25,1500,132.072,5
2021-01-07 19:00:00+00:00,132.18,132.3,132.14,132.14,2100,132.197143,7
2021-01-07 20:00:00+00:00,132.31,133.13,132.31,133.04,4014,132.867692,17
2021-01-08 14:00:00+00:00,134.92,135.11,134.39,134.39,1500,134.77,5
2021-01-08 15:00:00+00:00,134.47,134.47,133.0,133.82,5271,133.647333,20
2021-01-08 16:00:00+00:00,133.47,133.57,133.26,133.27,2415,133.37,9
2021-01-08 17:00:00+00:00,133.47,133.53,133.25,133.25,2490,133.447143,11
2021-01-08 18:00:00+00:00,133.07,133.14,131.76,131.84,2232,132.377143,8
2021-01-08 19:00:00+00:00,131.97,132.04,131.97,132.0,1200,132.0125,4
2021-01-08 20:00:00+00:00,132.6,132.6,132.27,132.6,900,132.49,3
2021-01-11 14:00:00+00:00,132.7,132.89,132.7,132.89,600,132.795,2
2021-01-11 15:00:00+00:00,133.94,134.18,133.88,134.18,1524,133.96,6
2021-01-11 16:00:00+00:00,134.55,134.57,134.53,134.53,900,134.55,3
2021-01-11 17:00:00+00:00,134.45,135.1,134.44,134.93,1200,134.7325,4
