Holdings details

FTSE Emerging Markets ETF (VWO)


Equity,as of 08/31/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,B0166K8,Larsen & Toubro Ltd,LT,0.23%,Construction & Engineering,IN,---,"$404,218,313.84","9,534,701"
,6451680,TS Financial Holding Co Ltd,2887,0.23%,Diversified Banks,TW,---,"$402,696,797.52","331,362,307.8"
,6141011,Quanta Computer Inc,2382,0.23%,"Technology Hardware, Storage & Peripherals",TW,---,"$398,574,930.44","37,342,799"
,6725299,Zijin Mining Group Co Ltd,2899,0.22%,Diversified Metals & Mining,HK,---,"$392,292,935.71","84,131,097"
,BNYK8H9,Trip.com Group Ltd,9961,0.22%,"Hotels, Resorts & Cruise Lines",HK,---,"$383,642,604.54","8,546,853"
,6984380,Yageo Corp,2327,0.22%,Electronic Components,TW,---,"$382,343,206.33","22,269,090"
,6226576,PetroChina Co Ltd,857,0.22%,Integrated Oil & Gas,HK,---,"$380,110,492.81","293,296,227"
,B01NPJ1,Tata Consultancy Services Ltd,TCS,0.21%,IT Consulting & Other Services,IN,---,"$363,574,261.52","14,452,985"
,B030GJ7,Standard Bank Group Ltd,SBK,0.21%,Diversified Banks,ZA,---,"$362,533,240.17","18,401,461"
,B0J2D41,Baidu Inc,9888,0.21%,Interactive Media & Services,HK,---,"$361,773,052.09","30,248,465"
,6440859,Capitec Limited,CPI,0.20%,Diversified Banks,ZA,---,"$359,683,321.10","1,244,734"
,B60LZR6,Agricultural Bank of China Ltd,1288,0.20%,Diversified Banks,HK,---,"$353,568,373.24","437,718,343"
,B3C8VY3,Saudi Arabian Mining Co,MAADEN,0.20%,Diversified Metals & Mining,SA,---,"$351,423,736.33","19,863,559"
,B01H720,King Slide Works Co Ltd,2059,0.20%,"Technology Hardware, Storage & Peripherals",TW,---,"$347,618,519.20","778,301"
,6889526,National Bank of Kuwait SAKP,NBK,0.20%,Diversified Banks,KW,---,"$346,195,943.01","122,446,600"
,B1DYPZ5,China Merchants Bank Co Ltd,3968,0.20%,Diversified Banks,HK,---,"$345,496,285.78","53,286,295"
,BNBX1W7,Kotak Mahindra Bank Ltd,KMB,0.19%,Diversified Banks,IN,---,"$341,424,706.29","77,638,410"
,6624471,First Abu Dhabi Bank PJSC,FAB,0.19%,Diversified Banks,AE,---,"$336,646,302.88","62,644,727"
,6424110,Yuanta Financial Holding Co Ltd,2885,0.19%,Diversified Financial Services,TW,---,"$333,760,970.02","161,895,710.72"
,BF4QXG5,Wiwynn Corp,6669,0.19%,"Technology Hardware, Storage & Peripherals",TW,---,"$328,264,031.85","1,469,029"
,BL6B9P1,Wuxi Biologics Cayman Inc,2269,0.19%,Life Sciences Tools & Services,HK,---,"$327,797,575.36","52,853,066"
,6212100,Chroma ATE Inc,2360,0.18%,Electronic Equipment & Instruments,TW,---,"$322,160,142.00","5,211,954"
,6761000,Valterra Platinum Ltd,VAL,0.18%,Precious Metals & Minerals,ZA,---,"$320,257,207.75","3,747,725"
,6451668,Largan Precision Co Ltd,3008,0.18%,Electronic Components,TW,---,"$319,222,556.10","1,325,797"
,B12M7Q5,Saudi Telecom Co,STC,0.18%,Integrated Telecommunication Services,SA,---,"$316,810,824.74","26,679,903"
,6582483,Sun Pharmaceutical Industries Ltd,SUNP,0.18%,Pharmaceuticals,IN,---,"$314,315,901.55","15,094,348"
,BVDKGC7,BeOne Medicines Ltd,6160,0.18%,Biotechnology,HK,---,"$312,231,528.52","11,402,700"
,BGR6KX5,Innovent Biologics Inc,1801,0.17%,Biotechnology,HK,---,"$303,048,217.82","22,975,820"
,BRJS8G5,DELTA ELECTRONICS THAI-FORGN,DELTA/F,0.17%,Electronic Components,TH,---,"$301,659,423.30","40,310,700"
,6051046,Asustek Computer Inc,2357,0.17%,"Technology Hardware, Storage & Peripherals",TW,---,"$299,938,919.42","9,527,851"
,2242059,Fomento Economico Mexicano SAB de CV,FEMSAUBD,0.17%,Soft Drinks & Non-alcoholic Beverages,MX,---,"$293,216,465.43","24,292,659"
,6556325,Malayan Banking Bhd,MAY,0.16%,Diversified Banks,MY,---,"$286,669,657.89","108,178,472"
,6563206,MTN Group Ltd,MTN,0.16%,Wireless Telecommunication Services,ZA,---,"$286,304,013.68","24,411,595"
,6322173,Emirates Telecommunications Group Co PJSC,EAND,0.16%,Integrated Telecommunication Services,AE,---,"$286,125,436.38","49,326,052"
,6148197,Qatar National Bank QPSC,QNBK,0.16%,Diversified Banks,QA,---,"$282,890,057.91","61,695,712"
,B09N7M0,China Shenhua Energy Co Ltd,1088,0.16%,Coal & Consumable Fuels,HK,---,"$279,790,310.64","47,371,860"
,6139340,Titan Co Ltd,TTAN,0.16%,"Apparel, Accessories & Luxury Goods",IN,---,"$279,482,007.10","5,223,641"
,6283601,Nanya Technology Corp,2408,0.16%,Semiconductors,TW,---,"$275,665,027.68","16,115,145"
,6433912,E.Sun Financial Holding Co Ltd,2884,0.15%,Diversified Banks,TW,---,"$269,388,198.39","214,958,367"
,6519481,Lite-On Technology Corp,2301,0.15%,"Technology Hardware, Storage & Peripherals",TW,---,"$265,418,699.65","27,630,357"
,6261674,Hindustan Unilever Ltd,HUVR,0.15%,Personal Care Products,IN,---,"$261,909,056.91","12,686,450"
,B012W42,Public Bank Bhd,PBK,0.15%,Diversified Banks,MY,---,"$257,309,384.58","209,476,590"
,B01RM25,Emaar Properties PJSC,EMAAR,0.15%,Real Estate Development,AE,---,"$256,298,563.52","88,048,806"
,6444066,Mega Financial Holding Co Ltd,2886,0.15%,Diversified Banks,TW,---,"$255,488,079.02","166,901,417"
,6633712,Maruti Suzuki India Ltd,MSIL,0.14%,Automobile Manufacturers,IN,---,"$254,415,521.55","1,788,079"
,B01C1P6,Bank Central Asia Tbk PT,BBCA,0.14%,Diversified Banks,ID,---,"$253,592,183.26","694,683,350"
,6966515,Winbond Electronics Corp,2344,0.14%,Semiconductors,TW,---,"$251,184,923.11","43,672,946"
,BSQCB24,State Bank of India,SBIN,0.14%,Diversified Banks,IN,---,"$249,519,558.08","22,445,429"
,BMVRB77,America Movil SAB de CV,AMXB,0.14%,Wireless Telecommunication Services,MX,---,"$248,462,173.43","215,348,032"
,B80VKP3,ASPEED Technology Inc,5274,0.14%,Semiconductors,TW,---,"$240,781,688.38","475,858"
,6525875,SinoPac Financial Holdings Co Ltd,2890,0.14%,Diversified Banks,TW,---,"$239,646,243.56","184,900,351"
,6672481,Wistron Corp,3231,0.14%,"Technology Hardware, Storage & Peripherals",TW,---,"$238,669,256.57","42,536,921"
,6431756,KGI Financial Holding Co Ltd,2883,0.13%,Life & Health Insurance,TW,---,"$237,223,891.71","222,222,340"
,6075745,CIMB Group Holdings Bhd,CIMB,0.13%,Diversified Banks,MY,---,"$236,226,640.30","119,615,708"
,6904612,Tenaga Nasional Bhd,TNB,0.13%,Electric Utilities,MY,---,"$234,607,375.91","66,694,451"
,B3FJBY3,Jentech Precision Industrial Co Ltd,3653,0.13%,Semiconductors,TW,---,"$232,071,368.64","1,229,892"
,BS4DBX0,Shriram Finance Ltd,SHFL,0.13%,Consumer Finance,IN,---,"$231,037,175.99","19,853,404"
,2406457,Cemex SAB de CV,CEMEXCPO,0.13%,Construction Materials,MX,---,"$230,920,476.06","214,237,354"
,B037HF1,NTPC Ltd,NTPC,0.13%,Independent Power Producers & Energy Traders,IN,---,"$230,223,585.07","67,005,827"
,BG087C6,National Bank of Greece SA,ETE,0.13%,Diversified Banks,GR,---,"$228,274,771.06","11,680,320"
