Holdings details

FTSE Developed Markets ETF (VEA)


Equity,as of 08/31/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,6465874,Galaxy Entertainment Group Ltd,27,0.03%,Casinos & Gaming,HK,---,"$91,573,234.26","21,066,879"
,6356406,Subaru Corp,7270,0.03%,Automobile Manufacturers,JP,---,"$91,195,066.61","5,500,379"
,6805265,Shiseido Co Ltd,4911,0.03%,Personal Care Products,JP,---,"$91,175,955.33","3,908,602"
,4732495,Telenor ASA,TEL,0.03%,Integrated Telecommunication Services,NO,---,"$90,549,505.28","6,178,537"
,6211732,Hanwha Ocean Co Ltd,042660,0.03%,Construction Machinery & Heavy Transportation Equipment,KR,---,"$90,073,453.45","1,406,768"
,BDCG2C2,Aritzia Inc,ATZ,0.03%,Apparel Retail,CA,---,"$89,922,617.49","943,653"
,B1VP0K0,Rexel SA,RXL,0.03%,Trading Companies & Distributors,FR,---,"$89,598,769.20","2,149,508"
,4902384,Trelleborg AB,TRELB,0.03%,Industrial Machinery & Supplies & Components,SE,---,"$89,597,054.45","1,911,417"
,5129074,Fresenius Medical Care AG,FME,0.03%,Health Care Services,DE,---,"$89,468,980.61","1,955,252"
,BJYRDP5,Gaztransport Et Technigaz SA,GTT,0.03%,Oil & Gas Storage & Transportation,FR,---,"$87,799,857.91","359,311"
,B1VSK54,Industrivarden AB,INDUC,0.03%,Multi-Sector Holdings,SE,---,"$87,738,783.80","1,565,759"
,B13X013,Eiffage SA,FGR,0.03%,Construction & Engineering,FR,---,"$87,732,266.44","694,678"
,6084848,LY Corp,4689,0.03%,Interactive Media & Services,JP,---,"$87,702,657.39","25,168,010"
,4598589,Continental AG,CON,0.03%,Tires & Rubber,DE,---,"$87,491,139.14","1,060,714"
,4852832,Storebrand ASA,STB,0.03%,Life & Health Insurance,NO,---,"$87,332,131.06","3,986,112"
,BV6JKC9,QIAGEN NV,QIA,0.03%,Life Sciences Tools & Services,DE,---,"$86,960,539.33","2,014,107"
,BMHVLR3,Tenaris SA,TEN,0.03%,Oil & Gas Equipment & Services,IT,---,"$86,673,312.05","3,105,311"
,BSNMGT9,Magnum Ice Cream Co NV/The,MICC,0.03%,Packaged Foods & Meats,NL,---,"$86,347,680.69","4,205,537"
,B1CC9H0,Swedish Orphan Biovitrum AB,SOBI,0.03%,Biotechnology,SE,---,"$85,998,031.05","1,833,729"
,6619507,NGK Corp,5333,0.03%,Industrial Machinery & Supplies & Components,JP,---,"$85,849,761.30","2,598,087"
,B1TK1Y8,Fukuoka Financial Group Inc,8354,0.03%,Regional Banks,JP,---,"$85,539,739.18","1,742,042"
,B8F0TD6,Talanx AG,TLX,0.03%,Multi-line Insurance,DE,---,"$85,504,464.72","590,263"
,B019KW7,J Sainsbury PLC,SBRY,0.03%,Food Retail,GB,---,"$84,396,207.38","18,740,484"
,2339177,Finning International Inc,FTT,0.03%,Trading Companies & Distributors,CA,---,"$84,023,532.06","1,280,682"
,BNGDN82,Melrose Industries PLC,MRO,0.03%,Aerospace & Defense,GB,---,"$83,867,215.70","12,229,107"
,BKX3XG2,Auckland International Airport Ltd,AIA,0.03%,Airport Services,NZ,---,"$83,798,108.41","15,999,490"
,BNM73Q6,Accelleron Industries AG,ACLN,0.03%,Heavy Electrical Equipment,CH,---,"$82,782,051.60","919,313"
,B4YVF56,Brenntag SE,BNR,0.03%,Trading Companies & Distributors,DE,---,"$82,409,168.03","1,132,440"
,BSWW128,G Mining Ventures Corp,GMIN,0.02%,Gold,CA,---,"$81,695,792.20","2,167,840"
,BLN8T44,AddTech AB,ADDTB,0.02%,Trading Companies & Distributors,SE,---,"$81,544,095.85","2,315,237"
,5258246,Subsea 7 SA,SUBC,0.02%,Oil & Gas Equipment & Services,NO,---,"$81,480,917.00","2,207,567"
,2854238,Stantec Inc,STN,0.02%,Construction & Engineering,CA,---,"$81,456,820.95","1,117,220"
,BMD58W3,Epiroc AB,EPIB,0.02%,Construction Machinery & Heavy Transportation Equipment,SE,---,"$81,269,701.90","3,470,300"
,B5LMKP4,NEXTDC Ltd,NXT,0.02%,Internet Services & Infrastructure,AU,---,"$81,139,142.41","8,218,215"
,6811734,Singapore Airlines Ltd,SIA,0.02%,Passenger Airlines,SG,---,"$81,120,037.83","15,197,153"
,5636927,thyssenkrupp AG,TKA,0.02%,Steel,DE,---,"$80,964,429.78","4,836,058"
,BYZZ7S4,Abivax SA,ABVX,0.02%,Biotechnology,FR,---,"$80,961,316.22","719,367"
,BNNJP32,APR Corp/Korea,278470,0.02%,Personal Care Products,KR,---,"$80,924,478.10","238,975"
,6490809,Kikkoman Corp,2801,0.02%,Packaged Foods & Meats,JP,---,"$80,750,486.12","7,042,900"
,6957995,West Japan Railway Co,9021,0.02%,Rail Transportation,JP,---,"$80,581,096.42","4,272,210"
,B0CCH46,Heineken Holding NV,HEIO,0.02%,Brewers,NL,---,"$80,399,049.33","1,013,717"
,6194037,Kakao Corp,035720,0.02%,Interactive Media & Services,KR,---,"$80,349,406.44","3,015,989"
,B012877,PSP Swiss Property AG,PSPN,0.02%,Real Estate Operating Companies,CH,---,"$80,330,455.08","446,806"
,7153639,Erste Bank Polska SA,EBP,0.02%,Diversified Banks,PL,---,"$80,131,260.12","414,507"
,0371847,Games Workshop Group PLC,GAW,0.02%,Leisure Products,GB,---,"$79,984,846.86","322,553"
,BD2P9X9,Knorr-Bremse AG,KBX,0.02%,Construction Machinery & Heavy Transportation Equipment,DE,---,"$79,358,964.12","649,044"
,BQ7XXW6,AIR LIQUIDE SA - PF - 2028,---,0.02%,Industrial Gases,FR,---,"$79,308,216.68","403,144"
,BKSHP63,NIPPON EXPRESS HOLDINGS INC,9147,0.02%,Air Freight & Logistics,JP,---,"$79,268,746.92","2,199,091"
,BF7MPL9,SSR Mining Inc,SSRM,0.02%,Gold,CA,---,"$79,137,261.29","2,105,592"
,B61X7R5,SITC International Holdings Co Ltd,1308,0.02%,Marine Transportation,HK,---,"$78,657,321.94","12,934,736"
,4253059,AP Moller - Maersk A/S,MAERSKA,0.02%,Marine Transportation,DK,---,"$78,636,370.71","24,312"
,BVZHXQ9,Hiscox Ltd,HSX,0.02%,Property & Casualty Insurance,GB,---,"$78,247,565.15","3,162,627"
,7751259,Yara International ASA,YAR,0.02%,Fertilizers & Agricultural Chemicals,NO,---,"$78,007,943.92","1,591,546"
,6173694,Capcom Co Ltd,9697,0.02%,Interactive Home Entertainment,JP,---,"$77,967,415.07","2,924,734"
,6563875,CapitaLand Ascendas REIT,CLAR,0.02%,Industrial REITs,SG,---,"$77,858,161.54","40,435,412"
,6644800,Nitori Holdings Co Ltd,9843,0.02%,Homefurnishing Retail,JP,---,"$77,734,493.79","4,074,285"
,B86SZR5,ALS Ltd,ALQ,0.02%,Research & Consulting Services,AU,---,"$77,582,962.50","4,882,694"
,6776349,Sanrio Co Ltd,8136,0.02%,Other Specialty Retail,JP,---,"$77,562,175.19","9,615,330"
,6642406,MINEBEA MITSUMI Inc,6479,0.02%,Industrial Machinery & Supplies & Components,JP,---,"$77,228,737.46","3,677,098"
,BF1HPT8,Food & Life Cos Ltd,3563,0.02%,Restaurants,JP,---,"$77,192,414.97","2,097,978"
,6307200,Eisai Co Ltd,4523,0.02%,Pharmaceuticals,JP,---,"$77,175,208.76","2,596,762"
,6434915,Hongkong Land Holdings Ltd,HKL,0.02%,Real Estate Operating Companies,SG,---,"$77,126,936.46","9,470,408"
,6459286,Infratil Ltd,IFT,0.02%,Multi-Sector Holdings,NZ,---,"$77,110,740.50","9,033,017"
,BMZMBC3,South Bow Corp,SOBO,0.02%,Oil & Gas Storage & Transportation,CA,---,"$77,004,391.86","2,035,945"
,6129222,ASX Ltd,ASX,0.02%,Financial Exchanges & Data,AU,---,"$76,977,749.72","1,913,970"
,B62G1B5,Edenred SE,EDEN,0.02%,Transaction & Payment Processing Services,FR,---,"$76,761,681.42","2,200,599"
,6986427,Yokogawa Electric Corp,6841,0.02%,Electronic Equipment & Instruments,JP,---,"$76,738,858.50","2,413,689"
,BNRQW72,Lottery Corp Ltd/The,TLC,0.02%,Casinos & Gaming,AU,---,"$76,625,597.07","21,491,755"
,B17ZL56,Mineral Resources Ltd,MIN,0.02%,Diversified Metals & Mining,AU,---,"$76,624,606.02","1,657,946"
,6555805,Makita Corp,6586,0.02%,Industrial Machinery & Supplies & Components,JP,---,"$76,341,737.04","2,310,737"
,BYZFYS3,SPIE SA,SPIE,0.02%,Diversified Support Services,FR,---,"$76,284,082.27","1,510,002"
,2162760,CAE Inc,CAE,0.02%,Aerospace & Defense,CA,---,"$76,275,131.22","3,152,804"
,0766937,St James's Place PLC,STJ,0.02%,Asset Management & Custody Banks,GB,---,"$76,272,661.72","4,835,251"
,5687431,H & M Hennes & Mauritz AB,HMB,0.02%,Apparel Retail,SE,---,"$76,266,926.03","4,174,794"
,BSD3B20,Zijin Gold International Co Ltd,2259,0.02%,Gold,HK,---,"$75,978,703.18","3,943,400"
,B2QPKJ1,Fresnillo PLC,FRES,0.02%,Silver,GB,---,"$75,776,705.56","1,807,209"
,6250906,Dai Nippon Printing Co Ltd,7912,0.02%,Commercial Printing,JP,---,"$75,710,731.57","3,917,158"
,BMV4NR2,Kyoto Financial Group Inc,5844,0.02%,Regional Banks,JP,---,"$75,526,176.33","2,429,260"
,6410700,Harel Insurance Investments & Financial Services Ltd,HARL,0.02%,Multi-line Insurance,IL,---,"$75,382,827.38","1,165,336"
,5002465,Henkel AG & Co KGaA,HEN,0.02%,Household Products,DE,---,"$75,051,330.73","918,422"
,0673123,Associated British Foods PLC,ABF,0.02%,Packaged Foods & Meats,GB,---,"$74,615,719.76","2,705,335"
,6739739,Sandfire Resources Ltd,SFR,0.02%,Copper,AU,---,"$74,569,177.31","4,552,225"
,6897024,TOPPAN Holdings Inc,7911,0.02%,Commercial Printing,JP,---,"$74,421,822.58","2,347,372"
,7106354,NKT A/S,NKT,0.02%,Electrical Components & Equipment,DK,---,"$74,351,817.32","523,227"
,BMY5XY9,Capstone Copper Corp,CS,0.02%,Copper,CA,---,"$74,249,584.18","6,399,640"
,6850856,Stockland,SGP,0.02%,Diversified REITs,AU,---,"$74,173,307.07","23,760,881"
,6659428,Omron Corp,6645,0.02%,Electronic Components,JP,---,"$73,955,252.04","1,784,925"
,B7FNMQ2,Element Fleet Management Corp,EFN,0.02%,Diversified Support Services,CA,---,"$73,801,711.97","3,881,802"
,6484686,Kawasaki Kisen Kaisha Ltd,9107,0.02%,Marine Transportation,JP,---,"$73,330,253.96","3,524,514"
,6986041,Yaskawa Electric Corp,6506,0.02%,Industrial Machinery & Supplies & Components,JP,---,"$73,229,828.13","2,470,509"
,BMXNX11,LIGHT & WONDER INC-CDI,LNW,0.02%,Casinos & Gaming,AU,CDI,"$73,216,717.44","776,798"
,6537030,LG Corp,003550,0.02%,Industrial Conglomerates,KR,---,"$73,140,349.41","841,945"
,5554041,Securitas AB,SECUB,0.02%,Security & Alarm Services,SE,---,"$72,991,590.35","4,607,690"
,BMJ1825,EXOR NV,EXO,0.02%,Multi-Sector Holdings,NL,---,"$72,659,056.06","854,770"
,6804400,Shimizu Corp,1803,0.02%,Construction & Engineering,JP,---,"$72,394,783.40","4,867,031"
,B0M0C89,SUMCO Corp,3436,0.02%,Semiconductor Materials & Equipment,JP,---,"$72,211,971.60","3,432,821"
,BLLHKZ1,WH Group Ltd,288,0.02%,Packaged Foods & Meats,HK,---,"$72,184,943.99","76,470,417"
,BM91201,Ampol Ltd,ALD,0.02%,Oil & Gas Refining & Marketing,AU,---,"$72,030,460.25","2,335,473"
,BL6K7K9,Lifco AB,LIFCOB,0.02%,Industrial Conglomerates,SE,---,"$71,991,785.13","2,180,251"
,6458001,Orica Ltd,ORI,0.02%,Commodity Chemicals,AU,---,"$71,948,386.22","4,524,380"
,0242493,DCC Energy plc,DCC,0.02%,Oil & Gas Refining & Marketing,GB,---,"$71,929,547.29","837,335"
,B188TH2,BCE Inc,BCE,0.02%,Integrated Telecommunication Services,CA,---,"$71,829,977.42","3,046,290"
,6467104,Isuzu Motors Ltd,7202,0.02%,Automobile Manufacturers,JP,---,"$71,789,718.84","5,055,155"
,B1G5XP1,Aedifica SA,AED,0.02%,Health Care REITs,BE,---,"$71,686,248.45","908,783"
,6098032,Bezeq The Israeli Telecommunication Corp Ltd,BEZQ,0.02%,Integrated Telecommunication Services,IL,---,"$71,640,696.99","27,209,907"
,5108664,HOCHTIEF AG,HOT,0.02%,Construction & Engineering,DE,---,"$71,317,902.44","147,176"
,6400626,Hachijuni Nagano Bank Ltd,8359,0.02%,Regional Banks,JP,---,"$71,085,717.03","4,202,649"
,B61KF83,Capital Power Corp,CPX,0.02%,Independent Power Producers & Energy Traders,CA,---,"$70,613,218.41","1,533,235"
,6911485,Unicharm Corp,8113,0.02%,Household Products,JP,---,"$70,586,868.50","11,298,586"
,BD6FXN3,Redeia Corp SA,RED,0.02%,Electric Utilities,ES,---,"$70,567,838.72","3,981,425"
,BFPM3C8,Hyundai Rotem Co Ltd,064350,0.02%,Construction Machinery & Heavy Transportation Equipment,KR,---,"$70,440,236.98","710,438"
,BYT1DJ1,ICG PLC,ICG,0.02%,Asset Management & Custody Banks,GB,---,"$70,409,184.76","2,611,270"
,6268976,Mitsubishi HC Capital Inc,8593,0.02%,Specialized Finance,JP,---,"$70,334,949.10","8,078,141"
,BYP20B9,BayCurrent Inc,6532,0.02%,Research & Consulting Services,JP,---,"$70,230,155.87","1,368,576"
,BXDZ972,Tryg A/S,TRYG,0.02%,Property & Casualty Insurance,DK,---,"$70,178,290.59","2,939,326"
,7127979,LPP SA,LPP,0.02%,"Apparel, Accessories & Luxury Goods",PL,---,"$70,015,378.48","12,527"
,BNDLH43,Nordnet AB publ,SAVE,0.02%,Investment Banking & Brokerage,SE,---,"$70,013,562.93","1,863,029"
,BW0BGZ3,CAR Group Ltd,CAR,0.02%,Interactive Media & Services,AU,---,"$69,547,833.02","3,516,036"
,3319521,Kingfisher PLC,KGF,0.02%,Home Improvement Retail,GB,---,"$69,482,154.57","16,438,361"
,BTKSSY6,Lundin Gold Inc,LUG,0.02%,Gold,CA,---,"$69,291,293.36","972,893"
,BF1KD82,Ringkjoebing Landbobank A/S,RILBA,0.02%,Regional Banks,DK,---,"$69,182,448.13","248,077"
,BYTBXV3,Ryanair Holdings PLC,RYA,0.02%,Passenger Airlines,IE,---,"$69,078,672.23","2,562,161"
,B0LDBX7,Indutrade AB,INDT,0.02%,Industrial Machinery & Supplies & Components,SE,---,"$68,903,308.80","2,623,273"
,6055208,AGC Inc,5201,0.02%,Building Products,JP,---,"$68,822,840.97","1,926,773"
,6146500,Brother Industries Ltd,6448,0.02%,"Technology Hardware, Storage & Peripherals",JP,---,"$68,795,998.30","2,249,480"
,B60DQV3,MEIJI Holdings Co Ltd,2269,0.02%,Packaged Foods & Meats,JP,---,"$68,671,052.03","2,444,074"
,B2Q4CL4,Isetan Mitsukoshi Holdings Ltd,3099,0.02%,Broadline Retail,JP,---,"$68,638,084.39","3,130,440"
,6594143,Sojitz Corp,2768,0.02%,Trading Companies & Distributors,JP,---,"$68,619,851.29","1,966,122"
,2112226,Saputo Inc,SAP,0.02%,Packaged Foods & Meats,CA,---,"$68,524,810.38","2,335,759"
,BY7QXS7,Vicinity Ltd,VCX,0.02%,Retail REITs,AU,---,"$68,432,698.12","38,391,513"
,6870564,Taiyo Yuden Co Ltd,6976,0.02%,Electronic Components,JP,---,"$68,428,220.89","1,204,148"
,BWFGQN1,Spirax Group PLC,SPX,0.02%,Industrial Machinery & Supplies & Components,GB,---,"$68,344,645.61","718,090"
,6229597,Rakuten Group Inc,4755,0.02%,Broadline Retail,JP,---,"$68,209,573.76","14,127,510"
,BMXPBZ7,Lottomatica Group Spa,LTMC,0.02%,Casinos & Gaming,IT,---,"$68,040,420.04","2,311,166"
,6640507,Nippon Paint Holdings Co Ltd,4612,0.02%,Specialty Chemicals,JP,---,"$67,930,482.12","9,004,781"
,6302410,Technology One Ltd,TNE,0.02%,Application Software,AU,---,"$67,888,773.60","2,913,761"
,BPJJWP1,OR Royalties Inc,OR,0.02%,Gold,CA,---,"$67,844,524.95","1,836,865"
,4490005,Kesko Oyj,KESKOB,0.02%,Food Retail,FI,---,"$67,822,096.90","2,602,499"
,BD73C40,Ivanhoe Mines Ltd,IVN,0.02%,Diversified Metals & Mining,CA,---,"$67,808,127.34","7,760,419"
,BMY36H7,Saipem SpA,SPM,0.02%,Oil & Gas Equipment & Services,IT,---,"$67,804,379.73","12,745,343"
,2141941,Descartes Systems Group Inc/The,DSG,0.02%,Application Software,CA,---,"$67,732,294.94","841,689"
,BRS2KY0,Samsung SDS Co Ltd,018260,0.02%,IT Consulting & Other Services,KR,---,"$67,727,728.00","387,770"
,B29VFC4,B2Gold Corp,BTO,0.02%,Gold,CA,---,"$67,380,247.20","12,287,586"
,B1VVGZ5,Svenska Cellulosa AB SCA,SCAB,0.02%,Forest Products,SE,---,"$67,379,908.02","5,660,424"
,BP2NJ48,Beijer Ref AB,BEIJB,0.02%,Trading Companies & Distributors,SE,---,"$67,158,474.69","4,649,115"
,BYW0PQ6,Land Securities Group PLC,LAND,0.02%,Diversified REITs,GB,---,"$67,058,949.75","7,274,080"
,5072673,Stora Enso Oyj,STERV,0.02%,Paper Products,FI,---,"$66,922,147.67","5,701,815"
,6543792,JFE Holdings Inc,5411,0.02%,Steel,JP,---,"$66,677,598.45","5,783,211"
,BZ0RDZ1,LIG Defense&Aerospace Co Ltd,079550,0.02%,Aerospace & Defense,KR,---,"$66,642,302.52","131,724"
,B06JSP1,AL Sydbank,ALSYDB,0.02%,Diversified Banks,DK,---,"$66,642,222.66","631,559"
,6292782,Pro Medicus Ltd,PME,0.02%,Health Care Technology,AU,---,"$66,579,431.20","519,765"
,B1LB9P6,SCOR SE,SCR,0.02%,Reinsurance,FR,---,"$66,495,494.56","1,698,562"
,6041995,Ramsay Health Care Ltd,RHC,0.02%,Health Care Facilities,AU,---,"$66,455,965.38","1,811,601"
,B3N3363,Korea Aerospace Industries Ltd,047810,0.02%,Aerospace & Defense,KR,---,"$66,439,479.39","695,520"
,6010702,Aisin Corp,7259,0.02%,Automotive Parts & Equipment,JP,---,"$66,395,349.95","4,734,041"
,6042608,Zensho Holdings Co Ltd,7550,0.02%,Restaurants,JP,---,"$66,218,161.27","898,756"
,B0386J1,Jyske Bank A/S,JYSK,0.02%,Diversified Banks,DK,---,"$65,995,599.13","388,257"
,B1QH7Y4,Volvo AB,VOLVA,0.02%,Construction Machinery & Heavy Transportation Equipment,SE,---,"$65,962,826.19","1,829,433"
,5715774,Ackermans & van Haaren NV,ACKB,0.02%,Construction & Engineering,BE,---,"$65,765,381.75","207,063"
,BNGNB77,Merlin Properties Socimi SA,MRL,0.02%,Diversified REITs,ES,---,"$65,707,428.05","4,233,425"
,6640541,Nippon Sanso Holdings Corp,4091,0.02%,Industrial Gases,JP,---,"$65,650,032.87","1,853,601"
,B1FF8P7,Idemitsu Kosan Co Ltd,5019,0.02%,Oil & Gas Refining & Marketing,JP,---,"$65,565,575.92","7,403,825"
,BNCBD46,IMCD NV,IMCD,0.02%,Trading Companies & Distributors,NL,---,"$65,556,784.92","563,521"
,6408664,Hankyu Hanshin Holdings Inc,9042,0.02%,Rail Transportation,JP,---,"$65,484,483.33","2,227,541"
,B0CSXQ8,Hanmi Semiconductor Co Ltd,042700,0.02%,Semiconductor Materials & Equipment,KR,---,"$65,423,803.57","410,005"
,B235ZT9,Ecopro Co Ltd,086520,0.02%,Electrical Components & Equipment,KR,---,"$65,416,182.30","985,176"
,7635610,EMS-Chemie Holding AG,EMSN,0.02%,Specialty Chemicals,CH,---,"$65,177,295.19","66,734"
,BQXQY26,OceanaGold Corp,OGC,0.02%,Gold,CA,---,"$64,821,931.96","2,203,580"
,B1VQF42,Orkla ASA,ORK,0.02%,Packaged Foods & Meats,NO,---,"$64,769,944.76","6,349,969"
,BD4HFT1,HD Hyundai Co Ltd,267250,0.02%,Oil & Gas Refining & Marketing,KR,---,"$64,745,074.34","406,374"
,BQV0SV7,Zalando SE,ZAL,0.02%,Apparel Retail,DE,---,"$64,487,120.19","2,266,438"
,2172286,Canadian Tire Corp Ltd,CTC/A,0.02%,Broadline Retail,CA,---,"$64,437,051.70","475,490"
,B11WWH2,Schindler Holding AG,SCHN,0.02%,Industrial Machinery & Supplies & Components,CH,---,"$64,435,722.68","202,905"
,6821120,Sonic Healthcare Ltd,SHL,0.02%,Health Care Services,AU,---,"$64,399,630.05","4,594,779"
,6002453,ASMPT Ltd,522,0.02%,Semiconductor Materials & Equipment,HK,---,"$64,351,406.46","3,083,801"
,6804369,Shimadzu Corp,7701,0.02%,Electronic Equipment & Instruments,JP,---,"$64,320,791.13","2,515,254"
,BPSLYH4,Syensqo SA,SYENS,0.02%,Specialty Chemicals,BE,---,"$64,299,336.05","681,811"
,6290054,MTR Corp Ltd,66,0.02%,Rail Transportation,HK,---,"$64,279,143.57","15,607,836"
,B09M9F4,Elia Group SA/NV,ELI,0.02%,Electric Utilities,BE,---,"$64,238,595.16","431,479"
,7184725,Swatch Group AG/The,UHR,0.02%,"Apparel, Accessories & Luxury Goods",CH,---,"$64,211,086.46","277,459"
,B0R7JF1,Ipsen SA,IPN,0.02%,Pharmaceuticals,FR,---,"$63,920,891.64","337,508"
,B39Z8G8,LG Innotek Co Ltd,011070,0.02%,Electronic Components,KR,---,"$63,852,021.30","137,244"
,6450988,Hyundai Engineering & Construction Co Ltd,000720,0.02%,Construction & Engineering,KR,---,"$63,816,642.80","712,170"
,7130836,Nexans SA,NEX,0.02%,Electrical Components & Equipment,FR,---,"$63,812,638.44","393,954"
,B11WFP1,Konecranes Oyj,KCR,0.02%,Industrial Machinery & Supplies & Components,FI,---,"$63,496,045.66","1,851,540"
,B17H3F6,SSAB AB,SSABB,0.02%,Steel,SE,---,"$63,324,449.01","5,849,458"
,6365866,GPT Group/The,GPT,0.02%,Diversified REITs,AU,---,"$63,317,835.66","18,816,925"
,B07DRZ5,Recordati Industria Chimica e Farmaceutica SpA,REC,0.02%,Pharmaceuticals,IT,---,"$63,172,672.60","1,035,251"
,B987K72,NexGen Energy Ltd,NXE,0.02%,Coal & Consumable Fuels,CA,---,"$63,131,835.56","6,034,315"
,BYZR014,Amundi SA,AMUN,0.02%,Asset Management & Custody Banks,FR,---,"$63,117,281.24","576,594"
,BN7BZM3,Nibe Industrier AB,NIBEB,0.02%,Building Products,SE,---,"$63,082,767.11","14,182,685"
,BJFFLV0,Croda International PLC,CRDA,0.02%,Specialty Chemicals,GB,---,"$62,985,868.06","1,354,883"
,6661111,Doosan Co Ltd,000150,0.02%,Industrial Conglomerates,KR,---,"$62,964,789.53","68,800"
,B15F6S6,Charter Hall Group,CHC,0.02%,Diversified REITs,AU,---,"$62,854,449.88","4,546,377"
,4712798,Renault SA,RNO,0.02%,Automobile Manufacturers,FR,---,"$62,805,579.35","1,822,159"
,B0DJ8Q5,Alstom SA,ALO,0.02%,Construction Machinery & Heavy Transportation Equipment,FR,---,"$62,674,657.69","3,298,979"
,6641588,Nissan Chemical Corp,4021,0.02%,Diversified Chemicals,JP,---,"$62,609,250.83","1,221,902"
,BTQGS77,Metlen Energy & Metals PLC,MTLN,0.02%,Industrial Conglomerates,GB,---,"$62,547,286.45","1,090,953"
,6647133,Nice Ltd,NICE,0.02%,Application Software,IL,---,"$62,542,477.64","572,673"
,B23G0X1,Genesis Minerals Ltd,GMD,0.02%,Gold,AU,---,"$62,327,329.04","10,597,740"
,7097328,Groupe Bruxelles Lambert NV,GBLB,0.02%,Multi-Sector Holdings,BE,---,"$62,295,767.62","726,310"
,6396800,Nippon Building Fund Inc,8951,0.02%,Office REITs,JP,---,"$62,126,174.10","78,656"
,4943402,voestalpine AG,VOE,0.02%,Steel,AT,---,"$62,069,595.06","1,170,236"
,B1WVF68,ANDRITZ AG,ANDR,0.02%,Industrial Machinery & Supplies & Components,AT,---,"$62,064,370.69","640,502"
,BYZ2QP5,Sartorius Stedim Biotech,DIM,0.02%,Life Sciences Tools & Services,FR,---,"$62,002,706.24","272,547"
,BMHDM54,Frontline PLC,FRO,0.02%,Oil & Gas Storage & Transportation,NO,---,"$61,838,234.29","1,400,484"
,BD2Z8S7,Italgas SpA,IG,0.02%,Gas Utilities,IT,---,"$61,545,290.70","6,033,384"
,BF44466,Umicore SA,UMI,0.02%,Specialty Chemicals,BE,---,"$61,542,161.42","2,239,169"
,BYT9340,Scout24 SE,G24,0.02%,Interactive Media & Services,DE,---,"$61,481,682.60","665,087"
,B02FBC1,Perseus Mining Ltd,PRU,0.02%,Gold,AU,---,"$61,238,540.82","13,188,129"
,6793821,Sekisui Chemical Co Ltd,4204,0.02%,Industrial Conglomerates,JP,---,"$61,153,215.29","3,689,035"
,6211798,Cochlear Ltd,COH,0.02%,Health Care Equipment,AU,---,"$61,094,653.32","637,927"
,B232R05,SK Innovation Co Ltd,096770,0.02%,Oil & Gas Refining & Marketing,KR,---,"$61,071,042.71","668,246"
,BF4HYT8,Lion Finance Group PLC,BGEO,0.02%,Diversified Banks,GB,---,"$60,745,637.78","337,283"
,5579107,Acciona SA,ANA,0.02%,Electric Utilities,ES,---,"$60,644,241.08","249,848"
,6595179,MISUMI Group Inc,9962,0.02%,Industrial Machinery & Supplies & Components,JP,---,"$60,587,336.63","2,589,650"
,4476210,Indra Sistemas SA,IDR,0.02%,IT Consulting & Other Services,ES,---,"$60,301,919.54","848,327"
,BP9LHF2,Schroders PLC,SDR,0.02%,Asset Management & Custody Banks,GB,---,"$60,134,306.60","7,622,164"
,2260824,Open Text Corp,OTEX,0.02%,Application Software,CA,---,"$60,085,366.67","2,408,193"
,6200600,Clal Insurance Enterprises Holdings Ltd,CLIS,0.02%,Multi-line Insurance,IL,---,"$59,968,368.40","679,148"
,BF8Q6K6,Aberdeen Group PLC,ABDN,0.02%,Asset Management & Custody Banks,GB,---,"$59,879,261.23","17,738,746"
,BN320L4,PrairieSky Royalty Ltd,PSK,0.02%,Oil & Gas Exploration & Production,CA,---,"$59,814,314.22","2,262,545"
,BF0GWS4,Wharf Real Estate Investment Co Ltd,1997,0.02%,Real Estate Operating Companies,HK,---,"$59,690,393.84","15,193,940"
,B06QFB7,IG Group Holdings PLC,IGG,0.02%,Investment Banking & Brokerage,GB,---,"$59,520,942.97","3,149,166"
,6660107,Ono Pharmaceutical Co Ltd,4528,0.02%,Pharmaceuticals,JP,---,"$59,481,144.13","3,875,506"
,6398088,Gunma Bank Ltd/The,8334,0.02%,Regional Banks,JP,---,"$59,312,171.44","3,351,197"
,BYWP840,Banca Mediolanum SpA,BMED,0.02%,Diversified Financial Services,IT,---,"$59,020,874.67","2,113,682"
,B292JQ9,Getlink SE,GET,0.02%,Highways & Railtracks,FR,---,"$58,954,143.34","2,694,254"
,BN4KLB4,Swissquote Group Holding SA,SQN,0.02%,Investment Banking & Brokerage,CH,---,"$58,899,270.45","1,137,591"
,6250508,Daito Trust Construction Co Ltd,1878,0.02%,Diversified Real Estate Activities,JP,---,"$58,862,035.04","2,823,050"
,6495730,Korea Electric Power Corp,015760,0.02%,Electric Utilities,KR,---,"$58,837,197.79","2,523,444"
,BN0SDX8,Hensoldt AG,HAG,0.02%,Aerospace & Defense,DE,---,"$58,806,623.40","589,936"
,4224992,Lotus Bakeries NV,LOTB,0.02%,Packaged Foods & Meats,BE,---,"$58,806,021.11","3,969"
,B1VSK10,Industrivarden AB,INDUA,0.02%,Multi-Sector Holdings,SE,---,"$58,528,410.78","1,034,078"
